date,mood,productivity,good,workout
29/12/2023,94,92,89,96
1/1/2024,91,89,85,93
2/1/2024,88,91,87,83
3/1/2024,95,94,86,79
4/1/2024,82,89,93,78
5/1/2024,90,87,91,84
6/1/2024,78,86,88,92
7/1/2024,94,84,82,97
8/1/2024,87,86,84,91
9/1/2024,92,88,89,80
10/1/2024,83,91,87,85
11/1/2024,89,93,90,87
12/1/2024,96,88,92,81
13/1/2024,93,85,93,87
14/1/2024,88,87,91,82
15/1/2024,80,86,92,90
16/1/2024,94,83,88,85
17/1/2024,89,88,81,93
18/1/2024,97,92,83,87
19/1/2024,84,93,86,92
20/1/2024,90,86,89,84
21/1/2024,82,87,91,86
22/1/2024,95,83,88,83
23/1/2024,88,89,90,85
24/1/2024,81,88,85,87
25/1/2024,94,87,84,94
26/1/2024,87,89,91,96
27/1/2024,84,91,86,80
28/1/2024,89,85,88,81
29/1/2024,96,86,89,87
30/1/2024,83,87,87,91
31/1/2024,94,83,89,96
1/2/2024,82,88,85,93
2/2/2024,88,87,86,90
3/2/2024,96,82,87,84
4/2/2024,87,91,86,83
5/2/2024,94,83,89,88
6/2/2024,85,89,87,92
7/2/2024,96,80,88,87
8/2/2024,83,87,85,89
9/2/2024,92,88,86,90
10/2/2024,85,91,87,85
11/2/2024,91,92,90,86
12/2/2024,97,85,91,82
13/2/2024,94,84,90,88
14/2/2024,88,86,88,82
15/2/2024,80,87,90,87
16/2/2024,95,82,89,85
17/2/2024,89,88,84,90
18/2/2024,98,91,85,87
19/2/2024,85,92,88,89
20/2/2024,90,87,89,84
21/2/2024,82,88,89,86
22/2/2024,95,82,89,83
23/2/2024,88,90,90,85
24/2/2024,81,89,85,87
25/2/2024,94,87,84,92
26/2/2024,87,90,91,96
27/2/2024,84,91,86,80
28/2/2024,89,85,88,81
1/3/2024,96,83,89,87
2/3/2024,82,89,85,93
3/3/2024,88,87,86,90
4/3/2024,96,82,87,84
5/3/2024,87,91,86,83
6/3/2024,94,83,89,88
7/3/2024,85,89,87,92
8/3/2024,96,80,88,87
9/3/2024,83,87,85,89
10/3/2024,92,88,86,90
11/3/2024,85,91,87,85
12/3/2024,91,92,90,86
13/3/2024,97,85,91,82
14/3/2024,94,84,90,88
15/3/2024,88,86,88,82
16/3/2024,80,87,90,87
17/3/2024,95,82,89,85
18/3/2024,89,88,84,90
19/3/2024,98,91,85,87
20/3/2024,85,92,88,89
21/3/2024,90,87,89,84
22/3/2024,82,88,89,86
23/3/2024,95,82,89,83
24/3/2024,88,90,90,85
25/3/2024,81,89,85,87
26/3/2024,94,87,84,92
27/3/2024,87,90,91,96
28/3/2024,84,91,86,80
29/3/2024,89,85,88,81
30/3/2024,96,83,89,87
31/3/2024,82,88,85,93
1/4/2024,88,87,86,90
2/4/2024,96,82,87,84
3/4/2024,87,91,86,83
4/4/2024,94,83,89,88
5/4/2024,85,89,87,92
6/4/2024,96,80,88,87
7/4/2024,83,87,85,89
